pl_name,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_orbeccen,st_teff,st_mass,st_rad,disc_year,discoverymethod,sy_dist
HD 220689 b,13.7,381.3940884,2266.4,3.396,0.054,5921.0,1.016,1.068,2012.0,Radial Velocity,46.8778
GJ 163 b,3.25,10.6,8.63182,0.0607,0.073,3500.0,0.4,0.409738,2013.0,Radial Velocity,15.1285
WASP-104 b,12.745,404.263,1.7554137,0.02918,0.0,5475.0,1.076,0.963,2014.0,Transit,185.932
HAT-P-53 b,14.773462,471.65972,1.9616241,0.03159,0.134,5956.0,1.093,1.209,2015.0,Transit,666.802
HD 111591 b,12.9,1398.452,1056.4,2.5,0.26,4884.0,1.94,8.03,2017.0,Radial Velocity,114.166
K2-155 b,1.8,3.89,6.342,0.0562,,4258.0,0.65,0.58,2018.0,Transit,72.7998
HD 180053 b,13.3,697.31902,213.72,0.843,0.081,5131.0,1.75,4.06,2018.0,Radial Velocity,137.043
TOI-1669 c,2.2963977,13.0,2.6800535,0.0376,0.0,5497.0,0.9867,1.0561,2024.0,Transit,111.276
K2-165 d,2.64809498,7.5,14.101361,,,5185.0,0.834847,0.803827,2018.0,Transit,134.591
DENIS-P J082303.1-491201 b,11.9,9057.77,246.36,0.36,0.345,,0.075,,2013.0,Astrometry,20.77
NGC 2682 YBP 1514 b,14.0,127.132,5.118,,0.28,5725.0,0.96,0.89,2014.0,Radial Velocity,914.221
HD 14067 b,12.2,4862.7746271,2744.0,5.15,0.65,4815.0,2.4,12.4,2014.0,Radial Velocity,142.024
K2-30 b,11.646151,184.02357,4.098503,0.04839,0.0,5425.0,0.9,0.844,2016.0,Transit,333.042
YZ Cet d,1.03,1.09,4.65626,0.02851,0.07,3151.0,0.142,0.157,2017.0,Radial Velocity,3.71207
Kepler-90 i,1.32,2.3,14.44912,0.1201380843,0.0,6015.0,1.12,1.29,2017.0,Transit,848.254
HD 75784 c,12.8,1792.5612,7900.0,8.4,0.489,4867.0,1.26,3.4,2018.0,Radial Velocity,85.4321
WASP-56 b,10.53646,143.0235,4.6171,0.05614,0.0,5600.0,0.71,0.96,2012.0,Transit,321.084
GJ 667 C g,1.99,4.6,256.2,0.549,0.08,3350.0,0.33,,2013.0,Radial Velocity,7.24396
WASP-135 b,14.5717,603.877,1.4013794,0.0243,0.0,5675.0,0.98,0.96,2015.0,Transit,298.214
CoRoT-32 b,6.38913,47.6745,6.71837,0.071,,5970.0,1.08,0.79,2018.0,Transit,576.683
TOI-1054.01,2.43432,6.5,15.5077855,,,6122.0,1.14,1.17,2021.0,Transit,88.4343
Kepler-504 b,1.59,3.15,9.549275422,0.0646,0.0,3519.0,0.33,0.33,2016.0,Transit,99.0688
