pl_name,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_orbeccen,st_teff,st_mass,st_rad,disc_year,discoverymethod,sy_dist
"TOI-1728 b",5.05000000,26.78000000,3.49151000000,0.0391000000,0.057000,3980.00,0.646000,0.624300,2020,"Transit",60.79800000
"HATS-74 A b",11.56766808,464.02947422,1.73185606000,0.0238400000,0.044000,3776.90,0.601000,0.575800,2021,"Transit",299.38900000
"Kepler-1207 b",1.62000000,3.26000000,13.68237119000,0.1156000000,0.000000,5909.00,1.060000,1.060000,2016,"Transit",1754.19000000
"Kepler-1636 b",3.23000000,10.50000000,425.47785000000,1.1219100000,0.000000,5797.00,1.010000,1.020000,2016,"Transit",1947.54000000
"Kepler-1267 b",3.01000000,9.32000000,13.03139450000,0.1057000000,0.000000,6096.00,1.150000,1.200000,2016,"Transit",1379.43000000
"K2-73 c",13.00000000,1142.00000000,1000.00000000000,,,5867.00,1.020000,1.058000,2025,"Radial Velocity",269.18300000
"Kepler-1795 b",1.66301611,3.40000000,13.36019993000,0.1002000000,0.000000,4500.00,0.768000,0.688000,2021,"Transit",
"K2-285 b",2.59000000,9.68000000,3.47174500000,0.0381700000,0.000000,4975.00,0.830000,0.787000,2018,"Transit",154.96100000
"WISPIT 1 c",12.80000000,1684.49055710,,840.0000000000,,4670.00,0.720000,1.116100,2025,"Imaging",230.00700000
"TIC 349520724 b",2.82626313,8.38000000,7.94044635021,,,5098.60,0.890000,0.818771,2026,"Transit",241.10500000
"LP 714-47 b",4.25000000,28.38000000,4.05203200000,0.0405600000,0.022000,4123.00,0.542000,0.536000,2020,"Transit",52.61600000
"Kepler-963 b",2.66000000,7.56000000,9.97683705000,0.0849000000,0.000000,5461.00,0.910000,0.870000,2016,"Transit",771.49400000
"XO-2 S b",10.90000000,82.63538582,18.22000000000,0.1347000000,0.150000,5325.00,0.980000,1.020000,2014,"Radial Velocity",151.39800000
"Kepler-1748 b",2.71275017,7.81000000,5.82352018400,0.0615000000,0.000000,5774.00,0.916000,0.864000,2021,"Transit",1083.28000000
"Kepler-336 d",2.37000000,6.21000000,20.67877200000,0.1540000000,0.000000,5867.00,1.090000,1.304000,2014,"Transit",768.86000000
"Kepler-712 b",3.41000000,11.50000000,21.02247699000,0.1361500000,0.000000,5148.00,0.840000,0.780000,2016,"Transit",872.49300000
"TOI-4364 b",2.01000000,4.70000000,5.42401900000,0.0475300000,0.290000,3528.00,0.487000,0.468400,2025,"Transit",43.96620000
"Kepler-247 b",1.64000000,3.33000000,3.33616000000,0.0420000000,0.000000,5100.00,0.887000,0.768000,2014,"Transit",663.71100000
"TOI-5628 A b",8.29464572,28.60455663,4.34166120000,0.0368000000,0.000000,3310.00,0.360000,0.350000,2026,"Transit",110.03000000
"EPIC 201427007 b",1.50000000,2.86000000,0.72091000000,,,5633.00,0.930000,0.940000,2021,"Transit",706.39100000
"TOI-2992 b",13.75341932,1058.36859531,3.00781200000,0.0434000000,0.089000,6000.00,1.210000,1.545000,2025,"Transit",542.02600000
"K2-268 b",1.50000000,2.86000000,2.15167600000,0.0308000000,,5106.00,0.840000,0.780000,2018,"Transit",327.78300000
"Kepler-1096 b",1.24000000,2.07000000,2.89221750600,0.0340000000,0.000000,4306.00,0.660000,0.630000,2016,"Transit",377.97600000
"TOI-615 b",18.97680433,138.25535705,4.66159830000,0.0678000000,0.390000,6850.00,1.449000,1.732000,2023,"Transit",360.40800000
"HAT-P-28 b",13.58500000,198.95300000,3.25721500000,0.0434000000,0.051000,5680.00,1.025000,1.103000,2011,"Transit",401.31900000
"Kepler-667 b",4.73000000,20.10000000,41.43962808000,0.2288000000,0.000000,5327.00,0.910000,0.870000,2016,"Transit",2302.45000000
"Kepler-557 b",2.67000000,7.61000000,3.70598955100,0.0469000000,0.000000,6068.00,1.110000,1.160000,2016,"Transit",2097.12000000
"EPIC 206024342 d",2.60000000,7.27000000,14.64753100000,,,5724.00,0.928000,1.100000,2021,"Transit",369.88800000
"rho CrB c",5.68000000,27.44200000,102.03600000000,0.4206000000,0.048000,5817.00,1.000000,1.361700,2016,"Radial Velocity",17.46710000
"Kepler-483 b",3.21000000,10.40000000,30.22910400000,0.1947100000,0.000000,6346.00,1.280000,1.470000,2016,"Transit",860.35500000
"HD 73534 b",13.70000000,353.42696000,1750.00000000000,2.9900000000,0.126000,4917.00,1.160000,2.580000,2008,"Radial Velocity",83.33210000
"HD 35843 b",2.29000000,5.84000000,9.89910000000,0.0880000000,0.000000,5666.00,0.940000,0.897000,2025,"Radial Velocity",69.60260000
"Kepler-116 b",3.42000000,11.60000000,5.96873400000,0.0690000000,0.000000,6142.00,1.198000,1.454000,2014,"Transit",955.16800000
"HAT-P-62 b",12.02723629,241.86741773,2.64532350000,0.0377200000,0.101000,5629.00,1.023000,1.170000,2021,"Transit",348.81500000
"TOI-3896 b",3.14949237,10.10000000,4.37730369667,,,5110.91,0.860000,0.747752,2026,"Transit",181.65300000
"Kepler-443 b",2.33000000,6.04000000,177.66930000000,0.4950000000,0.110000,4723.00,0.738000,0.706000,2015,"Transit",802.27100000
"TOI-4504 d",11.26000000,643.00000000,41.28719750000,0.2219000000,0.293000,5315.00,0.875000,0.930000,2024,"Transit Timing Variations",342.60500000
"HD 150010 b",13.30000000,762.78817680,562.00000000000,1.4000000000,0.200000,4153.00,1.300000,16.200000,2022,"Radial Velocity",144.49000000
"Kepler-552 b",3.95000000,14.80000000,5.26341576500,0.0612000000,0.000000,5863.00,1.030000,1.040000,2016,"Transit",843.68900000
"TOI-2719 b",5.98000000,29.90000000,3.37594000000,,,5762.00,1.020000,1.690000,2025,"Transit",588.36800000
"HD 23596 b",12.40000000,3786.60764100,1535.11912000000,2.6940000000,0.282000,6040.00,1.100000,1.530000,2003,"Radial Velocity",52.00180000
"K2-347 b",2.41000000,6.39000000,7.18725700000,,,4599.00,0.660000,0.630000,2021,"Transit",320.33600000
"Kepler-812 b",3.55000000,12.30000000,10.11716531000,0.1024000000,0.000000,6761.00,1.450000,1.710000,2016,"Transit",1482.74000000
"TOI-2266 b",1.54000000,2.99000000,2.32631800000,0.0200000000,,3200.00,0.230000,0.240000,2024,"Transit",51.60040000
"Kepler-1187 b",2.61000000,7.32000000,18.87064068000,0.1401000000,0.000000,5975.00,1.060000,1.090000,2016,"Transit",1020.53000000
"Kepler-1547 b",0.90000000,0.66600000,0.69297967600,0.0155600000,0.000000,6078.00,1.120000,1.180000,2016,"Transit",674.69500000
"Kepler-170 b",3.20000000,82.60000000,7.93059200000,0.0800000000,0.000000,5679.00,1.066000,1.035000,2014,"Transit",738.65700000
"GJ 15 A b",1.55000000,3.03000000,11.44070000000,0.0720000000,0.094000,3607.00,0.380000,0.380000,2014,"Radial Velocity",3.56228000
"Kepler-100 b",1.34000000,4.01000000,6.88734000000,0.0730900000,0.130000,5837.00,1.130000,1.510000,2014,"Transit",304.64500000
"Kepler-1258 b",0.86000000,0.56600000,0.98494016700,0.0182400000,0.000000,5839.00,0.990000,0.990000,2016,"Transit",717.55500000
"NSVS 14256825 b",12.30000000,4497.29450000,3225.00000000000,3.1200000000,0.120000,40000.00,0.419000,0.188000,2019,"Eclipse Timing Variations",820.87700000
"TOI-1266 b",2.52000000,4.46000000,10.89450000000,0.0730000000,0.039000,3563.00,0.437000,0.423200,2020,"Transit",36.01180000
"Kepler-659 b",2.50000000,6.80000000,17.67179600000,0.1204000000,0.000000,4870.00,0.790000,0.740000,2016,"Transit",722.64000000
